Trip_ID,Date,From_Station_ID,To_Station_ID,Ticket_ID,Payment_ID,Passengers,Fare,Revenue
1,2025-04-22,GL03,GL01,3,3,2,40,80
2,2025-03-15,GL02,BL01,3,2,2,50,100
3,2025-06-12,BL07,BL02,2,3,2,60,120
4,2025-03-12,BL04,BL11,2,1,5,30,150
5,2025-05-11,BL02,BL05,1,2,2,50,100
6,2025-01-28,BL02,GL03,1,1,2,30,60
7,2025-05-28,BL11,GL03,1,2,6,40,240
8,2025-04-01,BL09,GL05,2,3,3,60,180
9,2025-04-21,BL01,GL02,2,1,6,30,180
10,2025-03-08,BL06,BL12,1,2,2,20,40
11,2025-02-08,BL08,BL02,1,2,6,10,60
12,2025-01-07,BL02,BL07,1,2,4,50,200
13,2025-01-06,BL10,BL04,2,3,3,10,30
14,2025-01-21,BL02,BL12,2,2,4,30,120
15,2025-02-22,BL10,BL08,3,3,3,40,120
16,2025-02-02,BL03,GL05,2,1,2,40,80
17,2025-04-01,BL10,BL02,3,3,1,40,40
18,2025-06-09,BL12,BL10,2,2,6,50,300
19,2025-04-19,BL07,GL02,2,2,2,40,80
20,2025-03-10,BL01,BL03,3,2,5,60,300
21,2025-05-02,GL05,BL01,1,1,5,60,300
22,2025-05-28,BL12,BL06,1,1,6,40,240
23,2025-04-01,BL09,BL01,1,3,5,20,100
24,2025-05-16,BL12,BL05,2,1,3,50,150
25,2025-05-28,BL08,BL01,3,3,5,10,50
26,2025-06-30,BL04,BL08,2,3,1,60,60
27,2025-05-19,GL01,BL01,3,3,1,30,30
28,2025-05-17,BL05,BL01,2,3,3,40,120
29,2025-03-09,BL10,BL06,2,3,2,10,20
30,2025-04-18,BL09,BL11,2,2,5,10,50
31,2025-01-31,BL03,GL06,3,2,1,50,50
32,2025-02-10,BL12,BL02,2,3,2,30,60
33,2025-06-27,BL13,GL03,3,3,3,60,180
34,2025-01-27,BL06,GL01,3,2,5,10,50
35,2025-05-16,BL09,GL03,2,3,6,10,60
36,2025-06-26,BL09,GL01,3,3,1,20,20
37,2025-04-09,BL03,BL13,1,1,3,30,90
38,2025-05-30,GL04,GL05,2,2,6,20,120
39,2025-06-14,GL05,GL03,3,1,5,60,300
40,2025-01-25,BL02,GL06,2,1,5,30,150
41,2025-06-16,BL03,GL03,2,2,2,40,80
42,2025-05-15,BL01,GL02,2,3,1,10,10
43,2025-02-15,GL05,GL02,1,1,6,20,120
44,2025-03-16,GL01,BL07,1,1,2,30,60
45,2025-05-01,BL01,BL07,2,1,4,30,120
46,2025-06-21,GL01,GL06,3,2,6,10,60
47,2025-01-22,BL02,BL13,3,3,1,20,20
48,2025-06-08,GL02,BL12,2,2,5,10,50
49,2025-01-03,BL09,BL04,1,3,5,10,50
50,2025-02-16,GL06,BL08,3,3,3,50,150
51,2025-02-13,BL12,GL05,3,1,3,60,180
52,2025-04-10,BL09,GL02,2,1,2,40,80
53,2025-02-01,BL06,BL03,3,2,5,60,300
54,2025-04-03,BL01,BL08,3,3,4,30,120
55,2025-04-16,GL05,GL02,1,3,6,30,180
56,2025-02-02,BL07,GL06,3,3,6,30,180
57,2025-03-22,BL12,GL01,1,2,3,20,60
58,2025-01-22,BL01,GL01,1,1,4,30,120
59,2025-01-29,BL02,BL06,3,3,1,30,30
60,2025-02-07,BL09,BL06,2,1,1,30,30
61,2025-04-09,GL06,BL05,3,3,6,10,60
62,2025-06-05,BL05,GL02,2,2,4,40,160
63,2025-04-07,BL05,BL06,1,1,2,50,100
64,2025-06-02,BL09,BL05,1,2,2,60,120
65,2025-01-20,BL12,GL05,1,1,3,40,120
66,2025-06-15,BL10,BL04,2,1,4,50,200
67,2025-06-23,GL05,GL02,3,2,1,20,20
68,2025-06-13,GL04,BL01,1,1,3,10,30
69,2025-01-20,BL07,BL08,1,1,6,50,300
70,2025-06-29,GL04,BL01,1,1,3,40,120
71,2025-04-10,BL12,BL02,2,2,2,50,100
72,2025-05-18,BL08,BL10,2,2,5,30,150
73,2025-02-04,BL13,BL10,3,3,2,20,40
74,2025-03-15,BL04,GL02,3,1,5,30,150
75,2025-01-23,BL13,BL06,1,1,3,30,90
76,2025-02-21,GL02,GL01,2,3,6,20,120
77,2025-04-20,GL05,GL06,3,1,6,30,180
78,2025-05-07,BL06,GL01,3,3,1,40,40
79,2025-06-12,BL03,BL13,1,1,2,30,60
80,2025-01-19,BL03,BL07,1,1,1,30,30
81,2025-02-03,BL12,BL06,1,3,2,40,80
82,2025-03-06,BL08,BL13,1,1,3,60,180
83,2025-01-16,BL11,BL09,3,2,3,20,60
84,2025-03-11,BL07,BL09,1,1,3,20,60
85,2025-05-14,BL01,BL02,3,1,2,60,120
86,2025-03-13,BL12,GL01,1,1,5,50,250
87,2025-06-17,BL07,BL03,1,3,5,20,100
88,2025-02-10,GL05,GL01,2,1,3,10,30
89,2025-03-02,BL06,BL03,3,3,2,50,100
90,2025-04-09,BL12,GL04,3,2,5,40,200
91,2025-06-18,GL06,BL11,2,1,1,40,40
