Order_ID,Order_Date,Customer_Key,Product_Key,Region_Key,Payment_Key,ShipMode_Key,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Shipping_Cost,Delivery_Days,Returned
1,2025-03-08,91,27,2,3,1,3,1929,0.1,5208.3,2881.67,2326.63,51,4,Yes
2,2025-04-30,87,22,1,4,2,4,1401,0.15,4763.4,3679.52,1083.88,154,4,No
3,2025-05-08,58,16,3,3,2,3,3325,0,9975,5195.99,4779.01,293,9,No
4,2025-12-09,38,16,2,1,2,4,717,0.15,2437.8,1434.4,1003.4,207,2,Yes
5,2025-08-08,70,8,2,1,3,2,3618,0.05,6874.2,4581.78,2292.42,207,6,No
6,2025-04-04,37,13,2,3,1,1,1353,0.15,1150.05,644.43,505.62,294,4,Yes
7,2025-09-20,14,27,2,1,2,3,1455,0.15,3710.25,2545.69,1164.56,171,9,No
8,2025-09-12,2,24,4,3,2,4,3274,0.15,11131.6,8036.01,3095.59,207,2,No
9,2025-01-21,97,21,1,4,2,2,4454,0,8908,7032.7,1875.3,152,7,No
10,2025-08-25,28,19,4,3,1,1,4957,0.1,4461.3,3350.93,1110.37,167,1,No
11,2025-12-02,49,16,3,3,1,1,766,0,766,412.24,353.76,71,7,Yes
12,2025-05-15,50,19,4,1,3,4,4529,0.05,17210.2,11069.94,6140.26,102,10,No
13,2025-10-21,45,5,4,4,3,3,4043,0.05,11522.55,8782.65,2739.9,52,8,Yes
14,2025-03-11,60,11,3,3,3,5,2721,0.15,11564.25,7920.35,3643.9,237,2,No
15,2025-11-26,56,23,3,3,1,1,2716,0.1,2444.4,1344.02,1100.38,125,3,No
16,2025-11-02,85,20,2,1,2,4,4222,0.1,15199.2,8901.04,6298.16,55,1,Yes
17,2025-01-24,30,16,1,1,2,4,333,0.15,1132.2,598.22,533.98,128,4,No
18,2025-03-19,71,19,3,4,2,3,3636,0.1,9817.2,7078.01,2739.19,147,2,Yes
19,2025-10-06,27,3,4,3,3,2,2850,0,5700,3216.18,2483.82,145,1,Yes
20,2025-01-29,21,8,3,2,1,5,2165,0.05,10283.75,7961.95,2321.8,127,4,No
21,2025-01-17,14,2,2,2,2,5,1281,0.1,5764.5,3125.99,2638.51,56,9,No
22,2025-10-23,40,9,2,2,3,4,4858,0,19432,13447.57,5984.43,67,8,No
23,2025-09-04,40,22,4,3,3,2,2013,0.05,3824.7,2997.43,827.27,241,10,Yes
24,2025-05-08,21,12,2,3,1,2,3403,0.1,6125.4,3211.98,2913.42,156,9,Yes
25,2025-10-19,63,26,1,4,1,4,1393,0.15,4736.2,2623.44,2112.76,51,9,Yes
26,2025-02-24,36,16,2,1,2,3,487,0.05,1387.95,782.61,605.34,283,6,No
27,2025-12-20,66,25,2,3,1,1,2252,0.1,2026.8,1089.32,937.48,162,5,No
28,2025-02-26,39,20,2,4,1,5,2181,0.1,9814.5,5793.17,4021.33,281,7,Yes
29,2025-06-29,22,28,3,3,1,4,436,0,1744,1217.15,526.85,174,7,No
30,2025-03-21,31,21,2,3,2,5,2670,0.05,12682.5,7905.4,4777.1,117,3,No
31,2025-12-13,48,16,1,4,1,1,4357,0.15,3703.45,2771.91,931.54,65,8,Yes
32,2025-08-30,93,2,1,2,2,3,2175,0.1,5872.5,3349.47,2523.03,256,8,Yes
33,2025-05-15,60,20,4,3,1,1,815,0.1,733.5,423.92,309.58,283,5,Yes
34,2025-08-04,52,25,3,1,1,3,1468,0.15,3743.4,2429.85,1313.55,212,1,Yes
35,2025-06-19,31,11,1,4,3,3,2449,0.15,6244.95,3577.15,2667.8,298,9,No
36,2025-04-01,2,10,3,3,2,2,2020,0.15,3434.0,2496.43,937.57,85,5,Yes
37,2025-12-08,18,19,1,1,1,3,3693,0.1,9971.1,7224.69,2746.41,161,3,Yes
38,2025-07-21,16,26,1,1,3,4,4760,0,19040,10782.4,8257.6,105,4,No
39,2025-09-03,76,24,3,1,3,1,1508,0.15,1281.8,923.58,358.22,243,6,No
40,2025-12-12,92,6,3,3,3,3,2816,0.05,8025.6,5067.97,2957.63,148,1,No
41,2025-09-11,45,9,1,1,2,5,4383,0,21915,15206.02,6708.98,226,3,Yes
42,2025-08-09,35,21,2,4,2,1,1215,0.1,1093.5,748.82,344.68,162,5,Yes
43,2025-01-12,89,17,1,1,1,5,2842,0.05,13499.5,7716.52,5782.98,244,8,No
44,2025-11-29,85,30,3,4,1,2,4320,0,8640,6521.88,2118.12,236,4,No
45,2025-05-26,82,18,2,4,1,3,698,0.1,1884.6,1276.88,607.72,73,9,Yes
46,2025-09-28,66,29,3,2,3,5,2557,0,12785,6545.76,6239.24,144,4,No
47,2025-09-22,22,28,3,2,2,2,1838,0.05,3492.2,2021.7,1470.5,202,6,Yes
48,2025-05-23,84,19,1,2,1,5,4243,0.1,19093.5,14818.68,4274.82,233,10,No
49,2025-09-28,35,10,4,4,2,4,4520,0.15,15368.0,11222.32,4145.68,252,9,Yes
50,2025-07-12,83,11,3,1,2,4,2283,0,9132,6038.62,3093.38,290,7,Yes
51,2025-05-14,88,16,1,2,3,3,921,0.05,2624.85,1651.31,973.54,116,9,No
52,2025-01-23,4,9,3,1,2,1,2303,0,2303,1836.26,466.74,278,2,Yes
53,2025-11-23,23,16,4,4,3,4,4833,0.1,17398.8,11363.5,6035.3,122,5,No
54,2025-08-18,19,6,3,1,1,5,4191,0.15,17811.75,11446.51,6365.24,192,8,No
55,2025-01-25,45,20,2,2,3,3,2108,0.15,5375.4,3519.1,1856.3,281,10,Yes
56,2025-01-17,26,21,3,1,2,1,2737,0.1,2463.3,1754.91,708.39,218,1,Yes
57,2025-10-29,76,30,3,4,3,5,508,0.05,2413.0,1433.72,979.28,91,10,No
58,2025-08-03,99,26,2,3,3,2,3797,0.05,7214.3,5358.48,1855.82,186,5,No
59,2025-04-12,47,3,3,4,2,4,3723,0.15,12658.2,9950.1,2708.1,184,3,Yes
60,2025-09-14,42,25,1,4,2,5,1622,0.15,6893.5,5284.51,1608.99,99,6,Yes
61,2025-11-11,68,10,4,4,1,4,4882,0.05,18551.6,12692.14,5859.46,264,5,Yes
62,2025-10-23,35,13,4,3,2,4,2686,0,10744,6875.63,3868.37,189,8,No
63,2025-02-14,82,15,3,1,1,2,2903,0,5806,2974.61,2831.39,172,7,No
64,2025-03-02,68,2,3,2,3,1,3854,0.15,3275.9,2397.39,878.51,127,4,No
65,2025-03-19,68,23,2,4,2,4,1878,0.15,6385.2,3562.66,2822.54,156,8,Yes
66,2025-07-12,2,5,1,1,2,3,3202,0.15,8165.1,4637.05,3528.05,89,1,No
67,2025-12-18,24,29,2,3,2,4,639,0.15,2172.6,1235.36,937.24,62,9,Yes
68,2025-01-27,59,14,3,2,3,3,1542,0.15,3932.1,2711.42,1220.68,185,7,Yes
69,2025-12-06,28,26,1,1,1,3,2377,0,7131,4065.61,3065.39,283,3,Yes
70,2025-02-13,56,10,2,2,2,1,4319,0.05,4103.05,2901.0,1202.05,184,3,No
71,2025-12-26,16,12,1,3,2,1,4975,0.1,4477.5,3146.05,1331.45,266,6,Yes
72,2025-02-16,59,6,2,1,1,3,2950,0,8850,6662.89,2187.11,165,3,Yes
73,2025-09-23,31,22,2,1,1,1,2750,0,2750,1823.17,926.83,287,3,Yes
74,2025-01-06,66,22,4,1,2,2,3153,0.15,5360.1,4098.34,1261.76,268,1,Yes
75,2025-08-23,86,13,2,2,3,2,250,0,500,281.49,218.51,220,10,Yes
76,2025-09-29,49,3,2,3,3,4,480,0,1920,1051.13,868.87,203,10,Yes
