AttendanceID,StudentID,CourseID,ClassesHeld,ClassesPresent,AttendancePercentage
1,1,9,31,30,96.77
2,2,18,32,30,93.75
3,3,27,33,30,90.91
4,4,36,34,30,88.24
5,5,45,35,30,85.71
6,6,54,36,30,83.33
7,7,63,37,37,100.0
8,8,72,38,37,97.37
9,9,81,39,37,94.87
10,10,90,40,37,92.5
11,11,99,30,26,86.67
12,12,8,31,26,83.87
13,13,17,32,26,81.25
14,14,26,33,33,100.0
15,15,35,34,33,97.06
16,16,44,35,33,94.29
17,17,53,36,33,91.67
18,18,62,37,33,89.19
19,19,71,38,33,86.84
20,20,80,39,33,84.62
21,21,89,40,40,100.0
22,22,98,30,29,96.67
23,23,7,31,29,93.55
24,24,16,32,29,90.62
25,25,25,33,29,87.88
26,26,34,34,29,85.29
27,27,43,35,29,82.86
28,28,52,36,36,100.0
29,29,61,37,36,97.3
30,30,70,38,36,94.74
31,31,79,39,36,92.31
32,32,88,40,36,90.0
33,33,97,30,25,83.33
34,34,6,31,25,80.65
35,35,15,32,32,100.0
36,36,24,33,32,96.97
37,37,33,34,32,94.12
38,38,42,35,32,91.43
39,39,51,36,32,88.89
40,40,60,37,32,86.49
41,41,69,38,32,84.21
42,42,78,39,39,100.0
43,43,87,40,39,97.5
44,44,96,30,28,93.33
45,45,5,31,28,90.32
46,46,14,32,28,87.5
47,47,23,33,28,84.85
48,48,32,34,28,82.35
49,49,41,35,35,100.0
50,50,50,36,35,97.22
51,51,59,37,35,94.59
52,52,68,38,35,92.11
53,53,77,39,35,89.74
54,54,86,40,35,87.5
55,55,95,30,24,80.0
56,56,4,31,31,100.0
57,57,13,32,31,96.88
58,58,22,33,31,93.94
59,59,31,34,31,91.18
60,60,40,35,31,88.57
61,61,49,36,31,86.11
62,62,58,37,31,83.78
63,63,67,38,38,100.0
64,64,76,39,38,97.44
65,65,85,40,38,95.0
66,66,94,30,27,90.0
67,67,3,31,27,87.1
68,68,12,32,27,84.38
69,69,21,33,27,81.82
70,70,30,34,34,100.0
71,71,39,35,34,97.14
72,72,48,36,34,94.44
73,73,57,37,34,91.89
74,74,66,38,34,89.47
75,75,75,39,34,87.18
76,76,84,40,34,85.0
77,77,93,30,30,100.0
78,78,2,31,30,96.77
79,79,11,32,30,93.75
80,80,20,33,30,90.91
81,81,29,34,30,88.24
82,82,38,35,30,85.71
83,83,47,36,30,83.33
84,84,56,37,37,100.0
85,85,65,38,37,97.37
86,86,74,39,37,94.87
87,87,83,40,37,92.5
88,88,92,30,26,86.67
89,89,1,31,26,83.87
90,90,10,32,26,81.25
91,91,19,33,33,100.0
92,92,28,34,33,97.06
93,93,37,35,33,94.29
94,94,46,36,33,91.67
95,95,55,37,33,89.19
96,96,64,38,33,86.84
97,97,73,39,33,84.62
98,98,82,40,40,100.0
99,99,91,30,29,96.67
100,100,100,31,29,93.55
101,101,9,32,29,90.62
102,102,18,33,29,87.88
103,103,27,34,29,85.29
104,104,36,35,29,82.86
105,105,45,36,36,100.0
106,106,54,37,36,97.3
107,107,63,38,36,94.74
108,108,72,39,36,92.31
109,109,81,40,36,90.0
110,110,90,30,25,83.33
111,111,99,31,25,80.65
112,112,8,32,32,100.0
113,113,17,33,32,96.97
114,114,26,34,32,94.12
115,115,35,35,32,91.43
116,116,44,36,32,88.89
117,117,53,37,32,86.49
118,118,62,38,32,84.21
119,119,71,39,39,100.0
120,120,80,40,39,97.5
121,121,89,30,28,93.33
122,122,98,31,28,90.32
123,123,7,32,28,87.5
124,124,16,33,28,84.85
125,125,25,34,28,82.35
126,126,34,35,35,100.0
127,127,43,36,35,97.22
128,128,52,37,35,94.59
129,129,61,38,35,92.11
130,130,70,39,35,89.74
131,131,79,40,35,87.5
132,132,88,30,24,80.0
133,133,97,31,31,100.0
134,134,6,32,31,96.88
135,135,15,33,31,93.94
136,136,24,34,31,91.18
137,137,33,35,31,88.57
138,138,42,36,31,86.11
139,139,51,37,31,83.78
140,140,60,38,38,100.0
141,141,69,39,38,97.44
142,142,78,40,38,95.0
143,143,87,30,27,90.0
144,144,96,31,27,87.1
145,145,5,32,27,84.38
146,146,14,33,27,81.82
147,147,23,34,34,100.0
148,148,32,35,34,97.14
149,149,41,36,34,94.44
150,150,50,37,34,91.89
151,151,59,38,34,89.47
152,152,68,39,34,87.18
153,153,77,40,34,85.0
154,154,86,30,30,100.0
155,155,95,31,30,96.77
156,156,4,32,30,93.75
157,157,13,33,30,90.91
158,158,22,34,30,88.24
159,159,31,35,30,85.71
160,160,40,36,30,83.33
161,161,49,37,37,100.0
162,162,58,38,37,97.37
163,163,67,39,37,94.87
164,164,76,40,37,92.5
165,165,85,30,26,86.67
166,166,94,31,26,83.87
167,167,3,32,26,81.25
