EnrollmentID,StudentID,CourseID,AcademicYear,Semester,Status
1,1,7,2025,B,Active
2,2,14,2026,C,Active
3,3,21,2024,A,Active
4,4,28,2025,B,Completed
5,5,35,2026,C,Completed
6,6,42,2024,A,Completed
7,7,49,2025,B,Completed
8,8,56,2026,C,Dropped
9,9,63,2024,A,Dropped
10,10,70,2025,B,Dropped
11,11,77,2026,C,Dropped
12,12,84,2024,A,Active
13,13,91,2025,B,Active
14,14,98,2026,C,Active
15,15,5,2024,A,Active
16,16,12,2025,B,Completed
17,17,19,2026,C,Completed
18,18,26,2024,A,Completed
19,19,33,2025,B,Completed
20,20,40,2026,C,Dropped
21,21,47,2024,A,Dropped
22,22,54,2025,B,Dropped
23,23,61,2026,C,Dropped
24,24,68,2024,A,Active
25,25,75,2025,B,Active
26,26,82,2026,C,Active
27,27,89,2024,A,Active
28,28,96,2025,B,Completed
29,29,3,2026,C,Completed
30,30,10,2024,A,Completed
31,31,17,2025,B,Completed
32,32,24,2026,C,Dropped
33,33,31,2024,A,Dropped
34,34,38,2025,B,Dropped
35,35,45,2026,C,Dropped
36,36,52,2024,A,Active
37,37,59,2025,B,Active
38,38,66,2026,C,Active
39,39,73,2024,A,Active
40,40,80,2025,B,Completed
41,41,87,2026,C,Completed
42,42,94,2024,A,Completed
43,43,1,2025,B,Completed
44,44,8,2026,C,Dropped
45,45,15,2024,A,Dropped
46,46,22,2025,B,Dropped
47,47,29,2026,C,Dropped
48,48,36,2024,A,Active
49,49,43,2025,B,Active
50,50,50,2026,C,Active
51,51,57,2024,A,Active
52,52,64,2025,B,Completed
53,53,71,2026,C,Completed
54,54,78,2024,A,Completed
55,55,85,2025,B,Completed
56,56,92,2026,C,Dropped
57,57,99,2024,A,Dropped
58,58,6,2025,B,Dropped
59,59,13,2026,C,Dropped
60,60,20,2024,A,Active
61,61,27,2025,B,Active
62,62,34,2026,C,Active
63,63,41,2024,A,Active
64,64,48,2025,B,Completed
65,65,55,2026,C,Completed
66,66,62,2024,A,Completed
67,67,69,2025,B,Completed
68,68,76,2026,C,Dropped
69,69,83,2024,A,Dropped
70,70,90,2025,B,Dropped
71,71,97,2026,C,Dropped
72,72,4,2024,A,Active
73,73,11,2025,B,Active
74,74,18,2026,C,Active
75,75,25,2024,A,Active
76,76,32,2025,B,Completed
77,77,39,2026,C,Completed
78,78,46,2024,A,Completed
79,79,53,2025,B,Completed
80,80,60,2026,C,Dropped
81,81,67,2024,A,Dropped
82,82,74,2025,B,Dropped
83,83,81,2026,C,Dropped
84,84,88,2024,A,Active
85,85,95,2025,B,Active
86,86,2,2026,C,Active
87,87,9,2024,A,Active
88,88,16,2025,B,Completed
89,89,23,2026,C,Completed
90,90,30,2024,A,Completed
91,91,37,2025,B,Completed
92,92,44,2026,C,Dropped
93,93,51,2024,A,Dropped
94,94,58,2025,B,Dropped
95,95,65,2026,C,Dropped
96,96,72,2024,A,Active
97,97,79,2025,B,Active
98,98,86,2026,C,Active
99,99,93,2024,A,Active
100,100,100,2025,B,Completed
101,101,7,2026,C,Completed
102,102,14,2024,A,Completed
103,103,21,2025,B,Completed
104,104,28,2026,C,Dropped
105,105,35,2024,A,Dropped
106,106,42,2025,B,Dropped
107,107,49,2026,C,Dropped
108,108,56,2024,A,Active
109,109,63,2025,B,Active
110,110,70,2026,C,Active
111,111,77,2024,A,Active
112,112,84,2025,B,Completed
113,113,91,2026,C,Completed
114,114,98,2024,A,Completed
115,115,5,2025,B,Completed
