ResultID,ExamID,StudentID,Marks,Grade,ResultStatus
1,1,11,58,A,Pass
2,2,22,71,B+,Pass
3,3,33,84,B,Pass
4,4,44,97,C,Fail
5,5,55,54,A+,Pass
6,6,66,67,A,Pass
7,7,77,80,B+,Pass
8,8,88,93,B,Pass
9,9,99,50,C,Fail
10,10,110,63,A+,Pass
11,11,121,76,A,Pass
12,12,132,89,B+,Pass
13,13,143,46,B,Pass
14,14,154,59,C,Fail
15,15,165,72,A+,Pass
16,16,176,85,A,Pass
17,17,187,98,B+,Pass
18,18,198,55,B,Pass
19,19,209,68,C,Fail
20,20,220,81,A+,Pass
21,21,231,94,A,Pass
22,22,242,51,B+,Pass
23,23,253,64,B,Pass
24,24,264,77,C,Fail
25,25,275,90,A+,Pass
26,26,286,47,A,Pass
27,27,297,60,B+,Pass
28,28,308,73,B,Pass
29,29,319,86,C,Fail
30,30,330,99,A+,Pass
31,31,341,56,A,Pass
32,32,352,69,B+,Pass
33,33,363,82,B,Pass
34,34,374,95,C,Fail
35,35,385,52,A+,Pass
36,36,396,65,A,Pass
37,37,407,78,B+,Pass
38,38,418,91,B,Pass
39,39,429,48,C,Fail
40,40,440,61,A+,Pass
41,41,451,74,A,Pass
42,42,462,87,B+,Pass
43,43,473,100,B,Pass
44,44,484,57,C,Fail
45,45,495,70,A+,Pass
46,46,6,83,A,Pass
47,47,17,96,B+,Pass
48,48,28,53,B,Pass
49,49,39,66,C,Fail
50,50,50,79,A+,Pass
51,51,61,92,A,Pass
52,52,72,49,B+,Pass
53,53,83,62,B,Pass
54,54,94,75,C,Fail
55,55,105,88,A+,Pass
56,56,116,45,A,Pass
57,57,127,58,B+,Pass
58,58,138,71,B,Pass
59,59,149,84,C,Fail
60,60,160,97,A+,Pass
61,61,171,54,A,Pass
62,62,182,67,B+,Pass
63,63,193,80,B,Pass
64,64,204,93,C,Fail
65,65,215,50,A+,Pass
66,66,226,63,A,Pass
67,67,237,76,B+,Pass
68,68,248,89,B,Pass
