ExamID,CourseID,ExamCode,ExamDate,ExamType,MaxMarks
1,3,EX-2024-001,2024-02-02,Final,100
2,6,EX-2024-002,2024-03-03,Quiz,100
3,9,EX-2024-003,2024-04-04,Practical,100
4,12,EX-2024-004,2024-05-05,Midterm,100
5,15,EX-2024-005,2024-06-06,Final,100
6,18,EX-2024-006,2024-07-07,Quiz,100
7,21,EX-2024-007,2024-08-08,Practical,100
8,24,EX-2024-008,2024-09-09,Midterm,100
9,27,EX-2024-009,2024-10-10,Final,100
10,30,EX-2024-010,2024-11-11,Quiz,100
11,33,EX-2024-011,2024-12-12,Practical,100
12,36,EX-2024-012,2024-01-13,Midterm,100
13,39,EX-2024-013,2024-02-14,Final,100
14,42,EX-2024-014,2024-03-15,Quiz,100
15,45,EX-2024-015,2024-04-16,Practical,100
16,48,EX-2024-016,2024-05-17,Midterm,100
17,51,EX-2024-017,2024-06-18,Final,100
18,54,EX-2024-018,2024-07-19,Quiz,100
19,57,EX-2024-019,2024-08-20,Practical,100
20,60,EX-2024-020,2024-09-21,Midterm,100
21,63,EX-2024-021,2024-10-22,Final,100
22,66,EX-2024-022,2024-11-23,Quiz,100
23,69,EX-2024-023,2024-12-24,Practical,100
24,72,EX-2024-024,2024-01-25,Midterm,100
25,75,EX-2024-025,2024-02-26,Final,100
26,78,EX-2024-026,2024-03-27,Quiz,100
27,81,EX-2024-027,2024-04-01,Practical,100
28,84,EX-2024-028,2024-05-02,Midterm,100
29,87,EX-2024-029,2024-06-03,Final,100
30,90,EX-2024-030,2024-07-04,Quiz,100
31,93,EX-2024-031,2024-08-05,Practical,100
32,96,EX-2024-032,2024-09-06,Midterm,100
33,99,EX-2024-033,2024-10-07,Final,100
34,2,EX-2024-034,2024-11-08,Quiz,100
35,5,EX-2024-035,2024-12-09,Practical,100
36,8,EX-2024-036,2024-01-10,Midterm,100
37,11,EX-2024-037,2024-02-11,Final,100
38,14,EX-2024-038,2024-03-12,Quiz,100
39,17,EX-2024-039,2024-04-13,Practical,100
40,20,EX-2024-040,2024-05-14,Midterm,100
41,23,EX-2024-041,2024-06-15,Final,100
42,26,EX-2024-042,2024-07-16,Quiz,100
43,29,EX-2024-043,2024-08-17,Practical,100
44,32,EX-2024-044,2024-09-18,Midterm,100
45,35,EX-2024-045,2024-10-19,Final,100
46,38,EX-2024-046,2024-11-20,Quiz,100
47,41,EX-2024-047,2024-12-21,Practical,100
48,44,EX-2024-048,2024-01-22,Midterm,100
49,47,EX-2024-049,2024-02-23,Final,100
50,50,EX-2024-050,2024-03-24,Quiz,100
51,53,EX-2024-051,2024-04-25,Practical,100
52,56,EX-2024-052,2024-05-26,Midterm,100
53,59,EX-2024-053,2024-06-27,Final,100
54,62,EX-2024-054,2024-07-01,Quiz,100
